abogado;Abogado
abril;Abril
acordeon;Acordeón
acrilico;Acrílico
actitud;Actitud
actividad;Actividad
acuarela;Acuarela
adios;Adiós
agenda;Agenda
agosto;Agosto
aguacate;Aguacate
ahorro;Ahorro
ajedrez;Ajedrez
ajiaco;Ajiaco
ajo;Ajo
alquiler;Alquiler
amarillo;Amarillo
amistad;Amistad
analisis;Análisis
anden;Andén
anillo;Anillo
anticipar;Anticipar
aptitud;Aptitud
arbitro;Árbitro
archivar;Archivar
arepa;Arepa
arete;Arete
arma;Arma
armario;Armario
arroz;Arroz
arte;Arte
aros;Aros
arveja;Arveja
atencion;Atención
autoridad;Autoridad
auxiliar;Auxiliar
avion;Avión
ayer;Ayer
azul;Azul
balance;Balance
balanza;Balanza
balcon;Balcón
balde;Balde
banano;Banano
banco;Banco
baño;Baño
barba;Barba
bateria;Batería
bermuda;Bermuda
beneficio;Beneficio
bicicleta;Bicicleta
bienes;Bienes
blanco;Blanco
blusa;Blusa
bolsa;Bolsa
boceto;Boceto
borojo;Borojó
borrador;Borrador
boxer;Bóxer
brasier;Brasier
brazo;Brazo
brocoli;Brócoli
bufanda;Bufanda
buzo;Buzo
cabello;Cabello
cabeza;Cabeza
cadena;Cadena
cadera;Cadera
cafe;Café
caja;Caja
cajon;Cajón
calculo;Cálculo
calidad;Calidad
calzon;Calzón
cambio;Cambio
camisa;Camisa
camiseta;Camiseta
canal;Canal
capital;Capital
captura;Captura
carambola;Carambola
cargos;Cargos
carrera;Carrera
carro;Carro
cartera;Cartera
castigo;Castigo
catorce;Catorce
causa;Causa
cebolla;Cebolla
cejas;Cejas
central;Central
cera;Cera
cerdo;Cerdo
cero;Cero
cepillo;Cepillo
chaleco;Chaleco
chaqueta;Chaqueta
chuleta;Chuleta
ciclismo;Ciclismo
cien;Cien
cinco;Cinco
cincuenta;Cincuenta
cita;Cita
ciudad;Ciudad
civil;Civil
clasico;Clásico
clavado;Clavado
cobro;Cobro
cocina;Cocina
codigo;Código
codo;Codo
colegio;Colegio
coliflor;Coliflor
collar;Collar
comandante;Comandante
comedor;Comedor
comite;Comité
competencia;Competencia
computador;Computador
confidencial;Confidencial
consecuencia;Consecuencia
constitucion;Constitución
consumo;Consumo
contable;Contable
contador;Contador
control;Control
corbata;Corbata
coronel;Coronel
correa;Correa
costilla;Costilla
costo;Costo
crimen;Crimen
crisis;Crisis
cuaderno;Cuaderno
cuarenta;Cuarenta
cuatro;Cuatro
cuello;Cuello
cuerpo;Cuerpo
cultura;Cultura
curuba;Curuba
datos;Datos
dedicacion;Dedicación
dedo;Dedo
defensas;Defensas
delantero;Delantero
demanda;Demanda
deporte;Deporte
deportista;Deportista
derecho;Derecho
desarrollo;Desarrollo
descuento;Descuento
diadema;Diadema
dibujo;Dibujo
diciembre;Diciembre
diente;Diente
diez;Diez
direccion;Dirección
diseño;Diseño
disciplina;Disciplina
doce;Doce
docente;Docente
doctor;Doctor
documental;Documental
domingo;Domingo
dorado;Dorado
dos;Dos
durazno;Durazno
educacion;Educación
embarazo;Embarazo
empresa;Empresa
enero;Enero
enseñanza;Enseñanza
entidad;Entidad
entrenar;Entrenar
equipo;Equipo
escoba;Escoba
escuela;Escuela
esfuerzo;Esfuerzo
espalda;Espalda
espinaca;Espinaca
estadio;Estadio
estado;Estado
estatua;Estatua
estomago;Estómago
estrategia;Estrategia
estudiante;Estudiante
etica;Étia
factura;Factura
familia;Familia
falda;Falda
febrero;Febrero
finca;Finca
fiscalia;Fiscalía
fisica;Física
flauta;Flauta
flujo;Flujo
folleto;Folleto
fractura;Fractura
fresa;Fresa
frijoles;Frijoles
fuerza;Fuerza
fucsia;Fucsia
futbol;Fútbol
gafas;Gafas
gasas;Gasas
gasto;Gasto
gerencia;Gerencia
gimnasio;Gimnsaio
giro;Giro
granadilla;Granadilla
gris;Gris
guanabana;Guanábana
guayaba;Guayaba
guitarra;Guitarra
habichuela;Habichuela
habitacion;Habitación
